,bus,Vm,theta,P,Q,type
0,1,0.8006504090961721,-13.883473704272827,-176.18873915966313,-35.76967244469096,1
1,2,0.8742318280828041,-6.5606382012196445,-69.08501421542161,-14.01799139050561,1
2,3,0.8201119089744907,-11.056591813397619,-134.66750056961152,-27.28614794925003,1
3,4,0.8789805205505901,-2.193062085115961,-103.58591608818502,-20.956127919050978,1
4,5,0.8803093510523134,-1.5164109801768926,0.14066451478707714,0.36437374346507095,1
5,6,0.8853547053884465,-4.743709054989983,-179.5492643803666,-36.349723940062276,1
6,7,0.9057460750014504,-3.399566919011513,-65.57539995261375,-13.234122019811817,1
7,8,0.8546294508500946,-1.492125503655026,0.30934981415002466,1.0108851466792488,1
8,11,0.9012988934946673,-3.086595907236763,-241.5114894975837,-48.7033674465685,1
9,12,0.9534403573875646,0.0,855.0882740357641,497.9479970900494,3
10,13,0.8568751352013273,-6.267944470052928,-117.30135286176903,-23.591445672204813,1
11,14,0.9230577429326368,-0.7234577154591348,-48.09963849834442,-9.31740087713981,1
12,15,0.8862881491874977,3.440176504502108,-310.7075428054623,-62.27200293398434,1
13,16,0.9070219748677544,0.3444225073390748,-86.07381000626047,-16.98121520621169,1
14,17,0.8955543634483629,11.677123346211363,-37.10729321501353,-7.045023102746016,1
15,18,0.9048445418059144,4.014262460317807,-207.28724431146466,-42.08613061722934,1
16,19,0.9715363266332419,3.5417597734577986,-7.938925225441721,489.88356745857106,2
17,20,0.8469393006773749,0.41598529080497815,-62.20218355791267,-12.621202786053983,1
18,21,0.7821087682868212,1.9982596566741884,-48.29120143289924,-9.83203243214207,1
19,22,0.7365990269959724,8.574204537460034,-34.40145048019789,-7.06801719999082,1
20,23,0.7312428602932696,25.96642698060517,-22.02673624987837,-5.782494630634928,1
21,24,0.672230410155474,48.7826893168558,0.3404144391818727,1.1342601111871842,1
22,25,0.8203223072561798,15.5923655679833,0.31253741078774305,-0.3687765975004401,1
23,26,0.8043394941667387,15.588146654202603,0.01590427662325697,0.25035000569789534,1
24,27,0.869338765705324,6.71754473376641,-214.20500367448363,-43.50134623855924,1
25,28,0.8806077717043835,3.9552759275365297,-58.74572686212402,-11.928419708329988,1
26,29,0.9198121082483552,4.786067761661257,-82.92771423931833,-16.838711344694616,1
27,30,0.8609453797778583,11.689676736007822,-0.4517192202493038,3.2054232194273,1
28,31,0.9500000000000001,6.693046918960923,-40.429182617693584,134.57262889318002,2
29,32,0.9536559967950818,14.441725116213346,323.0558918119226,318.5254315076861,2
30,33,0.8399277775585775,14.302223078049748,-49.61660752312036,-9.569398433046995,1
31,34,0.9683521746440682,29.73856762637799,7.170836216414742,1111.3972714819743,2
32,35,0.9482428928527281,29.60004561062938,-71.04399661573122,-14.441330691766701,1
33,36,0.9652027344400493,29.563243505276294,15.143088397120128,146.81577974061062,2
34,37,0.8818721527477448,32.12178955469392,-54.65332377234095,-10.582990442558115,1
35,38,0.8509880233235043,32.14043158470853,20.625196314615195,-7.845639231573352,1
36,39,0.923558392066476,37.89183787333227,0.1959811899134572,0.16222835660856097,1
37,40,0.9500000000000001,40.960452449020735,36.92057169641089,418.2316819212269,2
38,41,0.854610973112519,44.16841874834898,-72.79017462112954,-16.376511572802084,1
39,42,0.7015564707505035,65.65602391771547,-67.32764422671585,-12.973963416786605,1
40,43,0.6784869102714913,43.508434895981175,-33.31996774262785,-9.613578383286223,1
41,44,0.5727314660727547,95.52342062517238,-33.56492399847262,-6.530380366742579,1
42,45,0.6964398416228248,116.30637669188582,-109.72804647831005,-21.652988725126836,1
43,46,0.9633618943866825,138.0779029022682,394.67774843963224,141.42724841981632,2
44,47,0.9387457998892794,130.73937917560025,-68.99670510526994,-14.007246829418854,1
45,48,0.9447340508115477,128.8590131134767,-40.58730788995101,-8.241603654491811,1
46,49,0.9525990668441073,127.5971396722239,245.18263767633078,527.6526871045294,2
47,50,0.9346621549353952,125.66245078664873,-34.49877430410344,-7.0042576050084095,1
48,51,0.91349972240077,123.06438936039001,-34.49864858585545,-7.004022633415084,1
49,52,0.906167987493411,121.82470168057786,-36.52851157520352,-7.417271279311695,1
50,53,0.9174689612500867,122.3597847047492,-46.67532146669023,-9.477627703710018,1
51,54,0.95,126.38806663571519,55.14135840873706,182.58656608413645,2
52,55,0.9301295178924139,125.97171812691762,-127.84922844459952,-25.959340903351546,1
53,56,0.9351082107543548,126.0698522452942,-170.4645174959388,-34.610879060929435,1
54,57,0.928089377339945,125.02900488175273,-24.351851211288302,-4.9437468984482,1
55,58,0.9170333436197738,123.71555507245306,-24.352062981420065,-4.944379163137475,1
56,59,0.95,140.24444294520302,748.1663880225468,-32.882140393114206,2
57,60,0.9323057318545651,135.24385200853393,-158.29044764130435,-32.14202672802719,1
58,61,0.9418330969605578,136.48639287444325,4.068851885165478e-05,0.0002429650504326955,1
59,62,0.9248728200178622,133.694031638222,-156.26099435374564,-31.729777110264802,1
60,63,0.9499863050214066,140.2258669510324,-0.00014816455328297252,0.0014979327183416962,1
61,64,0.9418970202243435,136.50109864393298,0.00038896224383313654,0.00385530001474701,1
62,65,0.9499999999999998,135.22559227020503,714.9153313126222,1038.7591931112952,2
63,66,0.9500047665197887,135.20094650812663,-79.14087585658336,-15.99579391364559,1
64,67,0.9250039508070127,132.54357253021573,-56.82215520655814,-11.53804642465913,1
65,68,0.9468617773768383,140.42316792837272,-0.00045135990653588073,0.033301952789867716,1
66,69,0.9468575620273316,140.39550053440834,-0.011613585998957001,0.07732309094397628,1
67,70,0.95,118.92586299248764,12.462272088955066,406.5863661604862,2
68,71,0.9427078994082804,115.5015372969226,-0.03149395827067407,0.3163750827167846,1
69,72,0.95,92.6676467993388,93.67206975890103,240.728088679356,2
70,73,0.9499999999999998,116.76747742113685,44.948282963191275,6.634872878900984,2
71,74,0.8373398465644234,120.11624470936131,-221.3043949974058,-44.931746201528576,1
72,75,0.8630327937188,127.23696507562184,-152.95713657455337,-31.030142324776637,1
73,76,0.9533172622335121,141.16515806787746,182.7176832069773,76.39282091741042,2
74,77,0.95,147.1014182075437,360.83375072573716,148.75455509592894,2
75,78,0.9402186357508516,146.40141327868054,-144.08491033970745,-29.257629069230973,1
76,79,0.9390119465980551,147.1347105576348,-79.14519443117794,-16.070959398089983,1
77,80,0.9644019657321016,152.58177642385928,1467.4823259259983,205.7486642257263,2
78,81,0.9643356848570782,152.52286346256778,-7.568593628920651e-06,0.0007735399149737116,1
79,82,0.8263406117447809,136.16184666955365,-271.26864683451043,-55.08340137887365,1
80,83,0.8449625523177134,134.76396175398455,-100.46988501149985,-20.401278611728262,1
81,84,0.8988018677785576,135.81618580501558,-55.258424747725186,-11.220701238862564,1
82,85,0.9514538065690237,138.45077493783185,-44.36515851161795,267.62093547895574,2
83,86,0.8696714232496644,129.9284071692894,-105.493379515518,-21.42134435017587,1
84,88,0.8924472524655649,145.50572952475554,-241.127717993985,-48.96307071898081,1
85,89,0.968750272697074,161.477652806638,323.8731208285848,163.18130192461877,2
86,90,0.9672518111510091,166.2446839398582,124.6057254028116,-38.24106762464914,2
87,91,0.9678661684443258,165.58850930349084,1.801268978789905e-08,6.040045457971962e-08,1
88,92,0.9656921362577853,164.64843889432606,490.2498201338522,69.0326345204904,2
89,93,0.8857779404521781,156.36193230083921,-60.28191820400101,-12.240765502987884,1
90,94,0.8525554646416006,151.450244955177,-150.7048180606291,-30.601916983645566,1
91,95,0.804572784300416,143.1765508421469,-210.98675894122968,-42.84268854491849,1
92,96,0.8276108764756251,141.78519697196097,-190.89275118647265,-38.762397911977644,1
93,97,0.88481602104984,146.47340679381213,-30.44048318307003,-6.181194196447654,1
94,98,0.941226847645994,153.88987139388126,-68.99841437238948,-14.010722534909261,1
95,99,0.9643792976146698,160.47614867973212,4.707618638445927e-07,3.515480047761986e-06,1
96,100,0.9664927967203689,163.61640962580813,456.80098475386603,223.4840416742269,2
97,101,0.9259185893308068,158.77831741092908,-110.51687255549271,-22.44140768498427,1
98,102,0.9478979401574871,162.17057176137908,-25.11746591425348,-5.100318661409252,1
99,103,0.9446879439417407,165.1984456479928,-115.54036590617144,-23.461471950070308,1
100,104,0.9371696518178712,166.20466748496332,-190.89276383607665,-38.76242894927732,1
101,105,0.9681577129780246,171.2779716247627,101.7877806699917,282.4003724350904,2
102,106,0.9005948440378203,170.68355081474104,-216.01025222636326,-43.862752500298775,1
103,107,0.9645177167774367,-159.05518984368982,497.35800378097804,14.905728124654235,2
104,108,0.9551554489306188,171.9201409679384,-10.046986390654066,-2.040127599894187,1
105,109,0.9512289043979855,172.3622684618298,-40.18794556261562,-8.160510399577007,1
106,110,0.9594803280974665,175.3303029453855,50.56997693923273,37.325661141708025,2
107,112,0.9500000000000001,-179.9648044870065,98.56103209382175,-50.10941015647129,2
108,113,0.9530437806634444,20.374149170556404,495.22572905321425,63.84218708120486,2
109,114,0.8999974078299247,9.137723695333413,-27.631248221816996,-5.610826513568084,1
110,115,0.8929085782337473,8.373546129037694,-75.99407072417672,-15.431424542905175,1
111,117,0.90326380701176,-6.1724017912150995,-69.09501082245255,-14.030340354099316,1
112,118,0.8891270566893471,132.96205685561682,-66.97073331309721,-13.59684582101504,1
