cluster_method,parameter_1,parameter_2,silhouette_score
KMeans,2.0,,0.7218669991523036
KMeans,3.0,,0.8034099337360189
KMeans,4.0,,0.7481528057093635
KMeans,5.0,,0.7247330676120013
KMeans,6.0,,0.7373904835400695
Optics,10.0,,0.35400175998247246
Optics,100.0,,0.41096336297358826
Optics,1000.0,,0.6537698793332176
Optics,2000.0,,0.7395852358782558
Optics,2200.0,,0.7396230172067297
Optics,2300.0,,0.7395959551130563
Optics,2400.0,,0.7395324320161574
DBSCAN,0.5,20.0,0.7217672815632391
DBSCAN,0.5,40.0,0.7233709576745406
DBSCAN,0.5,60.0,0.5801433409151794
DBSCAN,0.5,80.0,0.5430350775549139
DBSCAN,1.0,20.0,0.662188494673228
DBSCAN,1.0,40.0,0.6397459133288349
DBSCAN,1.0,60.0,0.6578938286202474
DBSCAN,1.0,80.0,0.656850654767821
DBSCAN,1.5,20.0,0.650592957853217
DBSCAN,1.5,40.0,0.6528697332645015
DBSCAN,1.5,60.0,0.6279815452262597
DBSCAN,1.5,80.0,0.6221422077609741
DBSCAN,2.0,20.0,0.5707874230496158
DBSCAN,2.0,40.0,0.5885421011973486
DBSCAN,2.0,60.0,0.5971445447024301
DBSCAN,2.0,80.0,0.601556897835278
